id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
1	retrofit2.CompletableFutureCallAdapterFactory	get(java.lang.reflect.Type,java.lang.annotation.Annotation[],retrofit2.Retrofit)	2	3	[false, false, false]	true	public	true	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
3	retrofit2.CompletableFutureCallAdapterFactory$BodyCallAdapter	BodyCallAdapter(java.lang.reflect.Type)	0	1	[false]	false	package	false	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
4	retrofit2.CompletableFutureCallAdapterFactory$BodyCallAdapter	responseType()	5	0	[]	false	public	true	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
6	retrofit2.CompletableFutureCallAdapterFactory$BodyCallAdapter	adapt(retrofit2.Call<R>)	7	1	[false]	false	public	true	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
8	retrofit2.CompletableFutureCallAdapterFactory$BodyCallAdapter$BodyCallback	BodyCallback(java.util.concurrent.CompletableFuture<R>)	0	1	[false]	false	public	false	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
9	retrofit2.CompletableFutureCallAdapterFactory$BodyCallAdapter$BodyCallback	onResponse(retrofit2.Call<R>,retrofit2.Response<R>)	10	2	[false, false]	false	public	false	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
11	retrofit2.CompletableFutureCallAdapterFactory$BodyCallAdapter$BodyCallback	onFailure(retrofit2.Call<R>,java.lang.Throwable)	12	2	[false, false]	false	public	false	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
13	retrofit2.CompletableFutureCallAdapterFactory$ResponseCallAdapter	ResponseCallAdapter(java.lang.reflect.Type)	0	1	[false]	false	package	false	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
14	retrofit2.CompletableFutureCallAdapterFactory$ResponseCallAdapter	responseType()	5	0	[]	false	public	true	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
15	retrofit2.CompletableFutureCallAdapterFactory$ResponseCallAdapter	adapt(retrofit2.Call<R>)	7	1	[false]	false	public	true	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
16	retrofit2.CompletableFutureCallAdapterFactory$ResponseCallAdapter$ResponseCallback	ResponseCallback(java.util.concurrent.CompletableFuture<retrofit2.Response<R>>)	0	1	[false]	false	public	false	file:///private/tmp/projects/retrofit/retrofit/src/main/java/retrofit2/CompletableFutureCallAdapterFactory.java
